# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
xkr4	Abdominal Pain	MESH:D015746	XKR4	114786	Signs and symptoms	Signs and symptoms		Propylthiouracil	10.25		15822032|15879050
xkr4	Abdominal Pain	MESH:D015746	XKR4	114786	Signs and symptoms	Signs and symptoms		Tretinoin	10.25		9234591
xkr4	Abdominal Pain	MESH:D015746	XKR4	114786	Signs and symptoms	Signs and symptoms		Valproic Acid	10.25		6206716
xkr4	Abducens Nerve Diseases	MESH:D020434	XKR4	114786	Nervous system disease	Nervous system disease		Tretinoin	3.72		10203107|16251142|19018859|9519692
xkr4	Abnormalities, Drug-Induced	MESH:D000014	XKR4	114786	Congenital abnormality	Congenital abnormality		bisphenol A	19.24		20299547|20970156|21269433|25853433
xkr4	Abnormalities, Drug-Induced	MESH:D000014	XKR4	114786	Congenital abnormality	Congenital abnormality		Cadmium Chloride	19.24		25181703
xkr4	Abnormalities, Drug-Induced	MESH:D000014	XKR4	114786	Congenital abnormality	Congenital abnormality		Tretinoin	19.24		1438063|20117194|2114463|22498432|2339323|6175036|8048045
xkr4	Abnormalities, Drug-Induced	MESH:D000014	XKR4	114786	Congenital abnormality	Congenital abnormality		trichostatin A	19.24		15901671|17320131|19850124
xkr4	Abnormalities, Drug-Induced	MESH:D000014	XKR4	114786	Congenital abnormality	Congenital abnormality		Valproic Acid	19.24		11091363|11223853|11339465|11986102|12196666|12237071|1363493|1377411|15123016|15208813|1574164|1574165|15901671|15955936|16112698|16239295|17320131|1893664|19174036|19507301|19850124|20025093|2284927|23888923|2499680|3080718|3140405|3142446|6126782|6147468|6150384|6401849|6412342|6428923|7687042|7852547|8363144|8816215|8875741|8935868|9344057
xkr4	Abnormalities, Multiple	MESH:D000015	XKR4	114786	Congenital abnormality	Congenital abnormality		bisphenol A	23.72		23637088
xkr4	Abnormalities, Multiple	MESH:D000015	XKR4	114786	Congenital abnormality	Congenital abnormality		Cadmium Chloride	23.72		23644582
xkr4	Abnormalities, Multiple	MESH:D000015	XKR4	114786	Congenital abnormality	Congenital abnormality		Tretinoin	23.72		20695457|22898132
xkr4	Abnormalities, Multiple	MESH:D000015	XKR4	114786	Congenital abnormality	Congenital abnormality		trichostatin A	23.72		15901671
xkr4	Abnormalities, Multiple	MESH:D000015	XKR4	114786	Congenital abnormality	Congenital abnormality		Valproic Acid	23.72		11223853|15901671|19490988|23811354|2492459|6439041|8363144
xkr4	Abnormalities, Radiation-Induced	MESH:D000016	XKR4	114786	Congenital abnormality|Wounds and injuries	Congenital abnormality|Wounds and injuries		Cadmium Chloride	5.13		25853276
xkr4	Abortion, Spontaneous	MESH:D000022	XKR4	114786	Pregnancy complication	Pregnancy complication		Arsenic	6.42		20940111|22426358
xkr4	Abortion, Spontaneous	MESH:D000022	XKR4	114786	Pregnancy complication	Pregnancy complication		Vehicle Emissions	6.42		20049215
xkr4	Acantholysis	MESH:D000051	XKR4	114786	Pathology (process)|Skin disease	Pathology (process)|Skin disease		Tretinoin	4.59		17763283
xkr4	Acidosis	MESH:D000138	XKR4	114786	Metabolic disease	Metabolic disease		Valproic Acid	2.50		11891102
xkr4	Acidosis, Lactic	MESH:D000140	XKR4	114786	Metabolic disease	Metabolic disease		Valproic Acid	2.82		3922731
xkr4	Acne Vulgaris	MESH:D000152	XKR4	114786	Skin disease	Skin disease		Ethinyl Estradiol	8.47		12615818|15269926|17505938|2945082|8222658
xkr4	Acne Vulgaris	MESH:D000152	XKR4	114786	Skin disease	Skin disease		Tretinoin	8.47		161830|20233239|21274875|2146526|3156656|3157930
xkr4	Acquired ichthyosis	MESH:C538175	XKR4	114786	Congenital abnormality|Infant-newborn disease|Skin disease	Congenital abnormality|Infant-newborn disease|Skin disease		Tretinoin	5.14		10473963|1401316
xkr4	Acrodynia	MESH:D000170	XKR4	114786	Nervous system disease	Nervous system disease		Phenylmercuric Acetate	4.86		18485443
xkr4	Acute Disease	MESH:D000208	XKR4	114786	Pathology (process)	Pathology (process)		Valproic Acid	3.78		15289703
xkr4	Acute Kidney Injury	MESH:D058186	XKR4	114786	Urogenital disease (female)|Urogenital disease (male)	Urogenital disease (female)|Urogenital disease (male)		bisphenol A	18.12		24625398
xkr4	Acute Kidney Injury	MESH:D058186	XKR4	114786	Urogenital disease (female)|Urogenital disease (male)	Urogenital disease (female)|Urogenital disease (male)		Cadmium Chloride	18.12		21620867|28759707
xkr4	Acute Kidney Injury	MESH:D058186	XKR4	114786	Urogenital disease (female)|Urogenital disease (male)	Urogenital disease (female)|Urogenital disease (male)		Nickel	18.12		21600195
xkr4	Acute Kidney Injury	MESH:D058186	XKR4	114786	Urogenital disease (female)|Urogenital disease (male)	Urogenital disease (female)|Urogenital disease (male)		Propylthiouracil	18.12		11014318|11956877|17415292|7942812|9219172|9550661
xkr4	Acute Kidney Injury	MESH:D058186	XKR4	114786	Urogenital disease (female)|Urogenital disease (male)	Urogenital disease (female)|Urogenital disease (male)		Tretinoin	18.12		10607690|11604554|12801854|17564563|18363177|8546128|9158667|9763554
xkr4	Acute Kidney Injury	MESH:D058186	XKR4	114786	Urogenital disease (female)|Urogenital disease (male)	Urogenital disease (female)|Urogenital disease (male)		Vehicle Emissions	18.12		19797351
xkr4	Acute Lung Injury	MESH:D055371	XKR4	114786	Respiratory tract disease	Respiratory tract disease		Nickel	6.98		12540486|16166738
xkr4	Acute Lung Injury	MESH:D055371	XKR4	114786	Respiratory tract disease	Respiratory tract disease		Vehicle Emissions	6.98		12832678|16298680
xkr4	Adenocarcinoma	MESH:D000230	XKR4	114786	Cancer	Cancer		Atrazine	13.21		21768606
xkr4	Adenocarcinoma	MESH:D000230	XKR4	114786	Cancer	Cancer		bisphenol A	13.21		19590677|23810794
xkr4	Adenocarcinoma	MESH:D000230	XKR4	114786	Cancer	Cancer		Ethinyl Estradiol	13.21		10667565|14692618|65687
xkr4	Adenocarcinoma	MESH:D000230	XKR4	114786	Cancer	Cancer		Valproic Acid	13.21		1729766
xkr4	Adenocarcinoma of lung	MESH:C538231	XKR4	114786	Cancer|Respiratory tract disease	Cancer|Respiratory tract disease		trichostatin A	7.19		22626855
xkr4	Adenocarcinoma of lung	MESH:C538231	XKR4	114786	Cancer|Respiratory tract disease	Cancer|Respiratory tract disease		Vehicle Emissions	7.19		26452295
xkr4	Adenoma, Islet Cell	MESH:D007516	XKR4	114786	Cancer|Digestive system disease|Endocrine system disease	Cancer|Digestive system disease|Endocrine system disease		Valproic Acid	4.06		1729766
xkr4	Adenoma, Liver Cell	MESH:D018248	XKR4	114786	Cancer|Digestive system disease	Cancer|Digestive system disease		Ethinyl Estradiol	2.85		1968981
xkr4	Adrenal Cortex Diseases	MESH:D000303	XKR4	114786	Endocrine system disease	Endocrine system disease		Atrazine	3.70		27102619
xkr4	Adrenal Gland Neoplasms	MESH:D000310	XKR4	114786	Cancer|Endocrine system disease	Cancer|Endocrine system disease		Arsenic	9.77		12583988|14514661
xkr4	Adrenal Gland Neoplasms	MESH:D000310	XKR4	114786	Cancer|Endocrine system disease	Cancer|Endocrine system disease		Valproic Acid	9.77		1729766
xkr4	Adrenal Insufficiency	MESH:D000309	XKR4	114786	Endocrine system disease	Endocrine system disease		Ethinyl Estradiol	3.64		3284149
xkr4	Adrenocortical Adenoma	MESH:D018246	XKR4	114786	Cancer|Endocrine system disease	Cancer|Endocrine system disease		Arsenic	4.93		17306315
xkr4	Adrenocortical Hyperfunction	MESH:D000308	XKR4	114786	Endocrine system disease	Endocrine system disease		Ethinyl Estradiol	4.39		1182631
xkr4	Agranulocytosis	MESH:D000380	XKR4	114786	Blood disease	Blood disease		Propylthiouracil	7.23		1110434|18816182|19493451|22529993|2523194|4172680|8191137
