Population ,Ancestry ,Chromosome ,Start (hg18) ,Stop (hg18) ,Band ,Size (bp) ,Position of peak ,Estimate ,P value ,Adjusted mean cases ,Adjusted mean control subjects ,Estimate other population ,P value other population ,Genes 
MX ,African ,1,118772973,118897326,1p12 ,124353,118772973,-1.06,0.00057,1.2,2.1,-0.17,0.636,NA 
MX ,European ,1,225987548,226155229,1q42.13 ,167681,226030114,-0.55,0.000948,1.2,1.38,NA ,1,"JMJD4, LOC100130093, PRSS38, SNAP47 "
MX ,European ,2,116607163,116913674,2q14.1 ,306511,116746412,-0.57,0.000623,0.63,0.89,NA ,1,NA 
MX ,European ,3,32066144,32817231,3p23-p22.3 ,751087,32592593,-0.83,0.000762,0.9,1.19,NA ,1,"CMTM6, CMTM7, CMTM8, CNOT10, DYNC1LI1, GPD1L "
MX ,Native ,3,163409853,163922419,3q26.1 ,512566,163670024,0.44,0.000209,1.04,0.81,NA ,1,NA 
MX ,European ,4,10873906,11186234,4p16.1-p15.33 ,312328,11054584,0.86,0.0004,0.93,0.69,0.22,0.415,"HS3ST1, MIR572 "
MX ,African ,4,90054476,90292813,4q22.1 ,238337,90054476,0.83,0.000521,3.26,1.87,0.6,0.0619,"FAM13A, TIGD2 "
MX ,European ,5,27619491,28094810,5p14.1 ,475319,27894334,0.79,0.000286,1.1,0.8,0.4,0.155,NA 
MX ,Native ,5,27860402,28094810,5p14.1 ,234408,27860402,-0.79,0.000749,1.02,1.27,-0.17,0.63,NA 
MX ,Native ,5,146504449,147502740,5q32-q33.1 ,998291,147112781,-0.75,0.000752,0.91,1.13,-0.4,0.207,"C5orf46, DPYSL3, JAKMIP2, SCGB3A2, SPINK1, SPINK5, STK32A "
MX ,Native ,5,152131588,152480216,5q33.2 ,348628,152340374,-0.77,4.9E-05,0.92,1.22,-0.59,0.075,NA 
MX ,European ,5,152131588,152480216,5q33.2 ,348628,152421333,0.64,0.000319,1.09,0.78,0.65,0.0266,NA 
MX ,European ,5,169105660,169282573,5q35.1 ,176913,169222931,0.61,0.000623,1.35,1.04,NA ,1,"DOCK2, FAM196B "
MX ,African ,6,90115388,90420965,6q15 ,305577,90205994,-0.58,1.28E-06,0.31,1.31,NA ,1,"ANKRD6, LYRM2, MDN1, RRAGD, UBE2J1 "
MX ,African ,7,86179382,86465185,7q21.11-q21.12 ,285803,86281104,-0.87,8.56E-05,1.44,2.55,NA ,1,"GRM3, KIAA1324L "
MX ,African ,7,92613677,93021926,7q21.3 ,408249,92898496,-1.57,0.000363,0.31,1.05,NA ,1,"CALCR, CCDC132, HEPACAM2, MIR489, MIR653, SAMD9L "
MX ,Native ,7,117157568,117531896,7q31.2-q31.31 ,374328,117282530,-0.78,0.000126,0.58,0.83,NA ,1,CTTNBP2 
MX ,African ,7,118240062,118822562,7q31.31 ,582500,118445206,1.46,9.12E-05,1.85,0.64,NA ,1,NA 
MX ,African ,8,56410052,56565688,8q12.1 ,155636,56496615,-1.02,0.000527,0.48,1.2,-0.87,0.00697,"SBF1P1, XKR4 "
MX ,Native ,8,63256978,63584883,8q12.3 ,327905,63524853,-0.64,0.00012,0.68,0.99,-0.01,0.983,NKAIN3 
MX ,European ,8,129956367,130322625,8q24.21 ,366258,130226986,0.73,9.28E-05,1,0.67,NA ,1,LOC728724 
MX ,European ,9,31843754,32096337,9p21.1 ,252583,31843754,0.71,0.00073,1.55,1.19,0.61,0.0198,NA 
MX ,Native ,9,85562113,86414325,9q21.32-21.33 ,852212,86191647,0.75,0.000803,1.06,0.79,0.74,0.0621,"C9orf64, GKAP1, HNRNPK, KIF27, MIR7-1, RMI1, SLC28A3 "
MX ,African ,10,120686439,121817825,10q26.11-q26.12 ,1131386,120849911,-1.53,0.0004,0.36,1.12,-0.32,0.341,"BAG3, C10orf119, EIF3A, FAM45A, FAM45B, GRK5, INPP5F, NANOS1, PRDX3, RGS10, SEC23IP, SFXN4, SNORA19, TIAL1 "
MX ,Native ,10,123964418,124666325,10q26.13 ,701907,124155206,0.73,0.000995,1.11,0.84,NA ,1,"ARMS2, BTBD16, C10orf120, CUZD1, DMBT1, FAM24A, FAM24B, FLJ46361, HTRA1, LOC399815, PLEKHA1, TACC2 "
MX ,European ,12,4970162,5598695,12p13.32-p13.31 ,628533,5141346,-0.68,0.000764,0.92,1.2,-0.05,0.843,"ANO2, KCNA5, NTF3 "
MX ,European ,13,52058906,52584486,13q14.3-q21.1 ,525580,52234932,0.47,0.000292,0.95,0.66,0.08,0.777,"HNRNPA1L2, LECT1, MIR759, OLFM4, PCDH8, SUGT1, TPTE2P3 "
